year,tournament,start date,type,surface,draw,atp points,atp ranking,tournament prize money,round,opponent,ranking,score,stats link,tournament,tournament round,time,winner,player1 name,player1 nationality,player1 aces,player1 double faults,player1 1st serves in,player1 1st serves total,player1 1st serve points won,player1 1st serve points total,player1 2nd serve points won,player1 2nd serve points total,player1 break points won,player1 break points total,player1 service games played,player1 1st serve return points won,player1 1st serve return points total,player1 2nd serve return points won,player1 2nd serve return points total,player1 break points converted won,player1 break points converted total,player1 return games played,player1 total service points won,player1 total service points total,player1 total return points won,player1 total return points total,player1 total points won,player1 total points total,player2 name,player2 nationality,player2 aces,player2 double faults,player2 1st serves in,player2 1st serves total,player2 1st serve points won,player2 1st serve points total,player2 2nd serve points won,player2 2nd serve points total,player2 break points won,player2 break points total,player2 service games played,player2 1st serve return points won,player2 1st serve return points total,player2 2nd serve return points won,player2 2nd serve return points total,player2 break points converted won,player2 break points converted total,player2 return games played,player2 total service points won,player2 total service points total,player2 total return points won,player2 total return points total,player2 total points won,player2 total points total
1983,"Cologne, Germany",24.10.1983,GP,Indoor: Carpet,Draw: 32,,,$,R32,Sandy Mayer (USA),N/A,"L 6-3, 4-6, 4-6",http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=332&y=1983&r=3&p=B028,Cologne,R32,0,Sandy Mayer,Boris Becker,Germany,,,,,,,,,,,,,,,,,,,,,,,,,Sandy Mayer,United States,,,,,,,,,,,,,,,,,,,,,,,,
1984,"Sydney Outdoor, Australia",10.12.1984,GP,Outdoor: Grass,Draw: 64,1,55,$,R64,Eddie Edwards (RSA),88,"L 4-6, 4-6",http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=338&y=1984&r=2&p=B028,Sydney Outdoor,R64,0,Eddie Edwards,Boris Becker,Germany,,,,,,,,,,,,,,,,,,,,,,,,,Eddie Edwards,South Africa,,,,,,,,,,,,,,,,,,,,,,,,
1984,"Australian Open, Australia",26.11.1984,GS,Outdoor: Grass,Draw: 96,71,108,$,R128,Rick Meyer (USA),204,"W 6-3, 6-1, 6-3",http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=580&y=1984&r=1&p=B028,Australian Open,R128,0,Boris Becker,Boris Becker,Germany,,,,,,,,,,,,,,,,,,,,,,,,,Rick Meyer,United States,,,,,,,,,,,,,,,,,,,,,,,,
1984,"Australian Open, Australia",26.11.1984,GS,Outdoor: Grass,Draw: 96,71,108,$,R64,Tim Mayotte (USA),19,"W 6-4, 7-6, 2-6, 6-4",http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=580&y=1984&r=2&p=B028,Australian Open,R64,0,Boris Becker,Boris Becker,Germany,,,,,,,,,,,,,,,,,,,,,,,,,Tim Mayotte,United States,,,,,,,,,,,,,,,,,,,,,,,,
1984,"Australian Open, Australia",26.11.1984,GS,Outdoor: Grass,Draw: 96,71,108,$,R32,Hank Pfister (USA),115,"W 7-5, 6-2, 6-2",http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=580&y=1984&r=3&p=B028,Australian Open,R32,0,Boris Becker,Boris Becker,Germany,,,,,,,,,,,,,,,,,,,,,,,,,Hank Pfister,United States,,,,,,,,,,,,,,,,,,,,,,,,
1984,"Australian Open, Australia",26.11.1984,GS,Outdoor: Grass,Draw: 96,71,108,$,R16,Guy Forget (FRA),44,"W 7-6, 6-4, 6-3",http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=580&y=1984&r=4&p=B028,Australian Open,R16,0,Boris Becker,Boris Becker,Germany,,,,,,,,,,,,,,,,,,,,,,,,,Guy Forget,France,,,,,,,,,,,,,,,,,,,,,,,,
1984,"Australian Open, Australia",26.11.1984,GS,Outdoor: Grass,Draw: 96,71,108,$,Q,Ben Testerman (USA),38,"L 4-6, 3-6, 4-6",http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=580&y=1984&r=5&p=B028,Australian Open,Q,0,Ben Testerman,Boris Becker,Germany,,,,,,,,,,,,,,,,,,,,,,,,,Ben Testerman,United States,,,,,,,,,,,,,,,,,,,,,,,,
1984,"Wembley, England",05.11.1984,GP,Indoor: Carpet,Draw: 32,14,,$,R32,Emilio Sanchez (ESP),N/A,"W 6-4, 6-1",http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=430&y=1984&r=3&p=B028,Wembley,R32,0,Boris Becker,Boris Becker,Germany,,,,,,,,,,,,,,,,,,,,,,,,,Emilio Sanchez,Spain,,,,,,,,,,,,,,,,,,,,,,,,
1984,"Wembley, England",05.11.1984,GP,Indoor: Carpet,Draw: 32,14,,$,R16,Guy Forget (FRA),N/A,"L 2-6, 5-7",http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=430&y=1984&r=4&p=B028,Wembley,R16,0,Guy Forget,Boris Becker,Germany,,,,,,,,,,,,,,,,,,,,,,,,,Guy Forget,France,,,,,,,,,,,,,,,,,,,,,,,,
1984,"Vienna, Austria",22.10.1984,GP,Indoor: Hard,Draw: 32,8,139,$,R32,Karel Novacek (CZE),145,"W 6-4, 6-7, 6-1",http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=337&y=1984&r=3&p=B028,Vienna,R32,0,Boris Becker,Boris Becker,Germany,,,,,,,,,,,,,,,,,,,,,,,,,Karel Novacek,Czech Republic,,,,,,,,,,,,,,,,,,,,,,,,
1984,"Vienna, Austria",22.10.1984,GP,Indoor: Hard,Draw: 32,8,139,$,R16,Jimmy Brown (USA),99,"L 2-6, 3-6",http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=337&y=1984&r=4&p=B028,Vienna,R16,0,Jimmy Brown,Boris Becker,Germany,,,,,,,,,,,,,,,,,,,,,,,,,Jimmy Brown,United States,,,,,,,,,,,,,,,,,,,,,,,,
1984,"Cologne, Germany",15.10.1984,GP,Indoor: Hard,Draw: 32,1,138,$,R32,Stefan Edberg (SWE),19,"L 4-6, 4-6",http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=332&y=1984&r=3&p=B028,Cologne,R32,0,Stefan Edberg,Boris Becker,Germany,,,,,,,,,,,,,,,,,,,,,,,,,Stefan Edberg,Sweden,,,,,,,,,,,,,,,,,,,,,,,,
1984,"Basel, Switzerland",08.10.1984,GP,Indoor: Hard,Draw: 32,1,141,$,R32,Jakob Hlasek (SUI),115,"L 5-7, 5-7",http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=328&y=1984&r=3&p=B028,Basel,R32,0,Jakob Hlasek,Boris Becker,Germany,,,,,,,,,,,,,,,,,,,,,,,,,Jakob Hlasek,Switzerland,,,,,,,,,,,,,,,,,,,,,,,,
1984,"Barcelona, Spain",01.10.1984,GP,Outdoor: Clay,Draw: 64,1,141,$,R64,Martin Wostenholme (CAN),269,"L 6-4, 4-6, 3-6",http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=425&y=1984&r=2&p=B028,Barcelona,R64,0,Martin Wostenholme,Boris Becker,Germany,,,,,,,,,,,,,,,,,,,,,,,,,Martin Wostenholme,Canada,,,,,,,,,,,,,,,,,,,,,,,,
